id,name,firstname,lastname,age,nationality,height,weight,injured,photo,birth_date,birth_place,birth_country,team_id,league_id,position
18747,R. Giles,Ryan,Giles,25,England,179.0,72.0,False,https://media.api-sports.io/football/players/18747.png,2000-01-26,Telford,England,1359,39,Defender
27778,B. Bolla,Bendegúz Bence,Bolla,26,Hungary,180.0,72.0,False,https://media.api-sports.io/football/players/27778.png,1999-11-22,Székesfehérvár,Hungary,39,39,Defender
138934,A. Pressley,Aaron Alex,Pressley,24,Scotland,194.0,75.0,False,https://media.api-sports.io/football/players/138934.png,2001-11-07,Edinburgh,Scotland,55,39,Attacker
140947,I. Kaboré,Issa,Kaboré,24,Burkina Faso,180.0,77.0,False,https://media.api-sports.io/football/players/140947.png,2001-05-12,Bobo-Dioulasso,Burkina Faso,1359,39,Defender
152980,Remmi Eugene Savage,Remmi Eugene,Savage,24,England,,,False,https://media.api-sports.io/football/players/152980.png,,,England,34,39,Defender
153434,W. Fish,William Thomas,Fish,22,England,,,False,https://media.api-sports.io/football/players/153434.png,,,England,33,39,Defender
162189,M. Bidstrup,Mads,Bidstrup,24,Denmark,175.0,75.0,False,https://media.api-sports.io/football/players/162189.png,2001-02-25,Køge,Denmark,55,39,Midfielder
197448,Yan Couto,Yan,Bueno Couto,23,Brazil,168.0,60.0,False,https://media.api-sports.io/football/players/197448.png,2002-06-03,Curitiba,Brazil,50,39,Defender
278075,C. Cîrjan,Cătălin Ionuț,Cîrjan,23,Romania,174.0,60.0,False,https://media.api-sports.io/football/players/278075.png,2002-12-01,Domnești,Romania,42,39,Midfielder
278088,C. Rushworth,Carl Andrew,Rushworth,24,England,188.0,86.0,False,https://media.api-sports.io/football/players/278088.png,2001-07-02,Halifax,England,51,39,Goalkeeper
284062,K. Edwards,Khayon,Edwards,22,England,,,False,https://media.api-sports.io/football/players/284062.png,,,England,42,39,Attacker
284248,M. Frauendorf,Melkamu Benjamin Daniel,Frauendorf,21,Germany,,,False,https://media.api-sports.io/football/players/284248.png,,,Ethiopia,40,39,Midfielder
284446,F. Potts,Freddie,Potts,22,England,,,False,https://media.api-sports.io/football/players/284446.png,,London,England,48,39,Midfielder
284466,C. Patino,Charlie Michael,Patino,22,England,182.0,75.0,False,https://media.api-sports.io/football/players/284466.png,2003-10-17,,England,42,39,Midfielder
291022,Joshua Keeley,Joshua,Keeley,22,Republic of Ireland,,,False,https://media.api-sports.io/football/players/291022.png,,,Republic of Ireland,47,39,Goalkeeper
2276,J. Cumming,James Andrew,Cumming,26,England,186.0,79.0,False,https://media.api-sports.io/football/players/2276.png,1999-09-04,Winchester,England,49,39,Goalkeeper
18751,Ivan Cavaleiro,Ivan Ricardo,Neves Abreu Cavaleiro,32,Portugal,175.0,72.0,False,https://media.api-sports.io/football/players/18751.png,1993-10-18,Vila Franca de Xira,Portugal,36,39,Attacker
64167,G. Słonina,Gabriel Paweł,Słonina,21,USA,193.0,88.0,False,https://media.api-sports.io/football/players/64167.png,2004-05-15,Addison,USA,49,39,Goalkeeper
138777,F. Anjorin,Faustino Adebola Rasheed,Anjorin,24,England,185.0,73.0,False,https://media.api-sports.io/football/players/138777.png,2001-11-23,Poole,England,49,39,Midfielder
162590,T. Morton,Tyler Scott,Morton,23,England,182.0,75.0,False,https://media.api-sports.io/football/players/162590.png,2002-10-31,Wallasey,England,7196,39,Midfielder
278086,I. Odutayo,Idris Adewale,Olarewaju Odutayo,23,England,,,False,https://media.api-sports.io/football/players/278086.png,,Lambeth,England,36,39,Defender
282130,Logan Pye,Logan,Pye,22,England,,,False,https://media.api-sports.io/football/players/282130.png,,,England,33,39,Defender
284305,Jamie Miley,Jamie,Miley,21,England,,,False,https://media.api-sports.io/football/players/284305.png,,Gateshead,England,34,39,Midfielder
284471,S. Parkes,Stefan Charles Earl,Parkes,21,England,,,False,https://media.api-sports.io/football/players/284471.png,,,England,36,39,Defender
284559,Alexander Paul Borto,Alexander Paul,Borto,22,USA,188.0,80.0,False,https://media.api-sports.io/football/players/284559.png,2003-11-06,,USA,36,39,Goalkeeper
288055,Ângelo,Ângelo Gabriel,Borges Damaceno,21,Brazil,180.0,78.0,False,https://media.api-sports.io/football/players/288055.png,2004-12-21,,Brazil,49,39,Attacker
298129,M. Boateng,Malachi,Boateng,23,England,,,False,https://media.api-sports.io/football/players/298129.png,,London,England,52,39,Midfielder
303016,M. Oyedele,Maximillian,Oyedele,21,Poland,180.0,70.0,False,https://media.api-sports.io/football/players/303016.png,2004-11-07,Manchester,England,33,39,Midfielder
327728,Delano McCoy-Splatt\t,Delano,McCoy-Splatt,21,Jamaica,,,False,https://media.api-sports.io/football/players/327728.png,,,England,36,39,Midfielder
330636,Sonny Aljofree,Sonny,Aljofree,21,England,,,False,https://media.api-sports.io/football/players/330636.png,,Plymouth,England,33,39,Defender
359386,M. Godo,Becket Fabrice-Martial,Godo,22,England,169.0,61.0,False,https://media.api-sports.io/football/players/359386.png,2003-03-14,London,England,36,39,Attacker
363974,Z. Marsh,Zach,Marsh,20,England,176.0,60.0,False,https://media.api-sports.io/football/players/363974.png,2005-10-06,,England,52,39,Attacker
378981,Elyh Harrison,Elyh,Harrison,19,England,,,False,https://media.api-sports.io/football/players/378981.png,,,England,33,39,Goalkeeper
384981,S. Amissah,Samuel,Amissah,18,England,184.0,73.0,False,https://media.api-sports.io/football/players/384981.png,2007-03-07,,England,36,39,Defender
404021,F. Marjoram,Finley,Marjoram,19,England,,,False,https://media.api-sports.io/football/players/404021.png,,,England,52,39,Midfielder
